month_start,year,month_number,month_name,quarter,financial_year
2019-10-01,2019,10,Oct,2019Q4,2019/20
2019-11-01,2019,11,Nov,2019Q4,2019/20
2019-12-01,2019,12,Dec,2019Q4,2019/20
2020-01-01,2020,1,Jan,2020Q1,2019/20
2020-02-01,2020,2,Feb,2020Q1,2019/20
2020-03-01,2020,3,Mar,2020Q1,2019/20
2020-04-01,2020,4,Apr,2020Q2,2020/21
2020-05-01,2020,5,May,2020Q2,2020/21
2020-06-01,2020,6,Jun,2020Q2,2020/21
2020-07-01,2020,7,Jul,2020Q3,2020/21
2020-08-01,2020,8,Aug,2020Q3,2020/21
2020-09-01,2020,9,Sep,2020Q3,2020/21
2020-10-01,2020,10,Oct,2020Q4,2020/21
2020-11-01,2020,11,Nov,2020Q4,2020/21
2020-12-01,2020,12,Dec,2020Q4,2020/21
2021-01-01,2021,1,Jan,2021Q1,2020/21
2021-02-01,2021,2,Feb,2021Q1,2020/21
2021-03-01,2021,3,Mar,2021Q1,2020/21
2021-04-01,2021,4,Apr,2021Q2,2021/22
2021-05-01,2021,5,May,2021Q2,2021/22
2021-06-01,2021,6,Jun,2021Q2,2021/22
2021-07-01,2021,7,Jul,2021Q3,2021/22
2021-08-01,2021,8,Aug,2021Q3,2021/22
2021-09-01,2021,9,Sep,2021Q3,2021/22
2021-10-01,2021,10,Oct,2021Q4,2021/22
2021-11-01,2021,11,Nov,2021Q4,2021/22
2021-12-01,2021,12,Dec,2021Q4,2021/22
2022-01-01,2022,1,Jan,2022Q1,2021/22
2022-02-01,2022,2,Feb,2022Q1,2021/22
2022-03-01,2022,3,Mar,2022Q1,2021/22
2022-04-01,2022,4,Apr,2022Q2,2022/23
2022-05-01,2022,5,May,2022Q2,2022/23
2022-06-01,2022,6,Jun,2022Q2,2022/23
2022-07-01,2022,7,Jul,2022Q3,2022/23
2022-08-01,2022,8,Aug,2022Q3,2022/23
2022-09-01,2022,9,Sep,2022Q3,2022/23
2022-10-01,2022,10,Oct,2022Q4,2022/23
2022-11-01,2022,11,Nov,2022Q4,2022/23
2022-12-01,2022,12,Dec,2022Q4,2022/23
2023-01-01,2023,1,Jan,2023Q1,2022/23
2023-02-01,2023,2,Feb,2023Q1,2022/23
2023-03-01,2023,3,Mar,2023Q1,2022/23
2023-04-01,2023,4,Apr,2023Q2,2023/24
2023-05-01,2023,5,May,2023Q2,2023/24
2023-06-01,2023,6,Jun,2023Q2,2023/24
2023-07-01,2023,7,Jul,2023Q3,2023/24
2023-08-01,2023,8,Aug,2023Q3,2023/24
2023-09-01,2023,9,Sep,2023Q3,2023/24
2023-10-01,2023,10,Oct,2023Q4,2023/24
2023-11-01,2023,11,Nov,2023Q4,2023/24
2023-12-01,2023,12,Dec,2023Q4,2023/24
2024-01-01,2024,1,Jan,2024Q1,2023/24
2024-02-01,2024,2,Feb,2024Q1,2023/24
2024-03-01,2024,3,Mar,2024Q1,2023/24
2024-04-01,2024,4,Apr,2024Q2,2024/25
2024-05-01,2024,5,May,2024Q2,2024/25
2024-06-01,2024,6,Jun,2024Q2,2024/25
2024-07-01,2024,7,Jul,2024Q3,2024/25
2024-08-01,2024,8,Aug,2024Q3,2024/25
2024-09-01,2024,9,Sep,2024Q3,2024/25
2024-10-01,2024,10,Oct,2024Q4,2024/25
2024-11-01,2024,11,Nov,2024Q4,2024/25
2024-12-01,2024,12,Dec,2024Q4,2024/25
2025-01-01,2025,1,Jan,2025Q1,2024/25
2025-02-01,2025,2,Feb,2025Q1,2024/25
2025-03-01,2025,3,Mar,2025Q1,2024/25
2025-04-01,2025,4,Apr,2025Q2,2025/26
2025-05-01,2025,5,May,2025Q2,2025/26
2025-06-01,2025,6,Jun,2025Q2,2025/26
2025-07-01,2025,7,Jul,2025Q3,2025/26
2025-08-01,2025,8,Aug,2025Q3,2025/26
2025-09-01,2025,9,Sep,2025Q3,2025/26
