org_code,sub_icb_full_code,sub_icb_name,icb_code,icb_short_code,icb_name,region_code,region_short_code,region_name
W2U3Z,E38000256,NHS North West London ICB - W2U3Z,E54000027,QRV,NHS North West London Integrated Care Board,E40000003,Y56,London
93C,E38000240,NHS North Central London ICB - 93C,E54000028,QMJ,NHS North Central London Integrated Care Board,E40000003,Y56,London
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,QMF,NHS North East London Integrated Care Board,E40000003,Y56,London
72Q,E38000244,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London
36L,E38000245,NHS South West London ICB - 36L,E54000031,QWE,NHS South West London Integrated Care Board,E40000003,Y56,London
91Q,E38000237,NHS Kent and Medway ICB - 91Q,E54000032,QKS,NHS Kent and Medway Integrated Care Board,E40000005,Y59,South East
D4U1Y,E38000252,NHS Frimley ICB - D4U1Y,E54000034,QNQ,NHS Frimley Integrated Care Board,E40000005,Y59,South East
10R,E38000137,NHS Hampshire and Isle of Wight ICB - 10R,E54000042,QRL,NHS Hampshire and Isle of Wight Integrated Care Board,E40000005,Y59,South East
D9Y0V,E38000253,NHS Hampshire and Isle of Wight ICB - D9Y0V,E54000042,QRL,NHS Hampshire and Isle of Wight Integrated Care Board,E40000005,Y59,South East
10Q,E38000136,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 10Q",E54000044,QU9,"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",E40000005,Y59,South East
15A,E38000221,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 15A",E54000044,QU9,"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",E40000005,Y59,South East
14Y,E38000223,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 14Y",E54000044,QU9,"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",E40000005,Y59,South East
92A,E38000264,NHS Surrey Heartlands ICB - 92A,E54000063,QXU,NHS Surrey Heartlands Integrated Care Board,E40000005,Y59,South East
09D,E38000021,NHS Sussex ICB - 09D,E54000064,QNX,NHS Sussex Integrated Care Board,E40000005,Y59,South East
97R,E38000235,NHS Sussex ICB - 97R,E54000064,QNX,NHS Sussex Integrated Care Board,E40000005,Y59,South East
70F,E38000265,NHS Sussex ICB - 70F,E54000064,QNX,NHS Sussex Integrated Care Board,E40000005,Y59,South East
