cluster_label_clean,relative_month,avg_absorption,avg_absorption_change,avg_asi_rate,events,referrals,appointment_slot_issues
High-volume persistent bottleneck,-3,0.3027076246410617,0.0014416841150665446,7105.669209704492,622,800749,547711
High-volume persistent bottleneck,-2,0.2986657241780727,-0.0019689028502937983,7076.342783350663,624,783341,537796
High-volume persistent bottleneck,-1,0.29781347470416125,0.0005361354749789041,7107.2729805996,619,783988,540278
High-volume persistent bottleneck,0,0.3085748071780993,0.0017928717113317048,7377.455713712816,647,814620,582594
High-volume persistent bottleneck,1,0.29652073471633045,-0.00133214446446745,7100.522327723135,617,779655,535479
High-volume persistent bottleneck,2,0.29298046887558804,-0.008398538669094494,7004.789164661226,623,783404,531274
High-volume persistent bottleneck,3,0.29222917500530016,-0.009167970689289621,6952.578809854987,622,802277,536676
Persistent no-slot bottleneck,-3,0.20184294852767964,-0.0038755697279608996,8678.556213823516,139,103923,88897
Persistent no-slot bottleneck,-2,0.21621984788017484,0.009419322633816916,8800.740603646898,120,90257,78674
Persistent no-slot bottleneck,-1,0.19614756305860898,-0.005653790923206535,8758.784538657066,111,79551,68596
Persistent no-slot bottleneck,0,0.2072554724271262,-0.0053643122149571905,8670.915034895093,212,155459,134006
Persistent no-slot bottleneck,1,0.1664800695687322,-0.017465780458476896,8641.464069682575,103,72180,61563
Persistent no-slot bottleneck,2,0.18782665232457443,-0.011470821697872037,8349.572891346335,121,86654,71606
Persistent no-slot bottleneck,3,0.20412624313848504,-0.0049189020516318665,8464.464797027185,139,102604,85684
Volatile access pattern,-3,0.8260059525182706,0.011398378738747609,8584.14558899921,52,35839,30022
Volatile access pattern,-2,0.8195553341292968,0.001078219878112025,8929.904958785704,45,31802,27475
Volatile access pattern,-1,0.8426506972721782,-0.01603088972324788,8346.875885886995,40,28761,23486
Volatile access pattern,0,0.750843660798089,-0.016555480245889747,9928.167131761766,77,51433,49341
Volatile access pattern,1,0.8133353997705342,-0.03798914365472078,8082.690239860672,40,28883,23104
Volatile access pattern,2,0.7937966764250375,-0.056280153290939744,8344.71755899038,47,33110,27007
Volatile access pattern,3,0.7454082020784039,-0.06207661981748417,8913.852255916356,55,38573,32973
