org_code,sub_icb_name,region_name,risk_tier,specialty,referrals,bookings,appointment_slot_issues,positive_demand_gap,avg_monthly_absorption,absorption_volatility,avg_asi_rate,max_asi_rate,asi_persistence,active_months,booking_absorption_rate,absorption_weakness,asi_rate_per_10000,latest_3m_absorption,previous_3m_absorption,absorption_trend_3m,cluster_id,cluster_label,cluster_label_clean,sub_icb_specialty_label,region_latitude,region_longitude,dominant_archetype
00L,NHS North East and North Cumbria ICB - 00L,North East and Yorkshire,Monitor,2WW,19949,17918,301,2031,0.8981671262296297,0.0303304834670109,151.9847578432772,237.26448011165388,0.0,12,0.8981903854829816,0.1018096145170184,150.88475612812672,0.8767910653596743,0.8834781875500716,-0.0066871221903972,1,Volatile access pattern,Volatile access pattern,NHS North East and North Cumbria ICB - 00L | 2WW,54.3,-1.3,Low-conversion non-ASI deficit
00L,NHS North East and North Cumbria ICB - 00L,North East and Yorkshire,Monitor,Cardiology,2077,1817,725,269,0.871587756482424,0.1064666031980231,3469.0381312347604,4939.759036144578,1.0,8,0.8748194511314396,0.1251805488685604,3490.6114588348582,0.8974764810721186,0.8044653054081934,0.0930111756639252,1,Volatile access pattern,Volatile access pattern,NHS North East and North Cumbria ICB - 00L | Cardiology,54.3,-1.3,Low-conversion non-ASI deficit
00L,NHS North East and North Cumbria ICB - 00L,North East and Yorkshire,Monitor,Children's & Adolescent Services,2600,2516,665,172,0.9674669687880808,0.1247902456090622,2563.5021071674832,2911.764705882353,1.0,6,0.9676923076923076,0.0323076923076922,2557.6923076923076,0.7933403561491787,0.8947054817841336,-0.1013651256349548,1,Volatile access pattern,Volatile access pattern,NHS North East and North Cumbria ICB - 00L | Children's & Adolescent Services,54.3,-1.3,Low-conversion non-ASI deficit
00L,NHS North East and North Cumbria ICB - 00L,North East and Yorkshire,Monitor,Dermatology,4039,3026,59,1024,0.755584948872761,0.1873766338865229,148.79242395109478,249.22118380062304,0.0,12,0.7491953453825204,0.2508046546174796,146.07576132706114,0.7206081089115349,0.79210690316972,-0.071498794258185,1,Volatile access pattern,Volatile access pattern,NHS North East and North Cumbria ICB - 00L | Dermatology,54.3,-1.3,Low-conversion non-ASI deficit
00L,NHS North East and North Cumbria ICB - 00L,North East and Yorkshire,Monitor,Diabetic Medicine,1089,571,131,518,0.5261000404506875,0.1039015038892889,1233.157635252056,1847.8260869565215,1.0,12,0.5243342516069789,0.4756657483930211,1202.9384756657485,0.5081263922118637,0.6150852636359883,-0.1069588714241245,1,Volatile access pattern,Volatile access pattern,NHS North East and North Cumbria ICB - 00L | Diabetic Medicine,54.3,-1.3,Low-conversion non-ASI deficit
00L,NHS North East and North Cumbria ICB - 00L,North East and Yorkshire,Monitor,"Ear, Nose & Throat",7241,7312,85,1457,1.01625615683869,0.7062086976311996,116.07461354823327,217.0767004341534,0.0,12,1.0098052755144318,-0.0098052755144317,117.387101229112,0.9202169304016664,1.7879560299995008,-0.8677390995978344,1,Volatile access pattern,Volatile access pattern,"NHS North East and North Cumbria ICB - 00L | Ear, Nose & Throat",54.3,-1.3,Low-conversion non-ASI deficit
00L,NHS North East and North Cumbria ICB - 00L,North East and Yorkshire,Monitor,Neurology,1395,1204,10,191,0.8676577199431224,0.0551433879314926,72.8386789491468,232.5581395348837,0.0,12,0.8630824372759857,0.1369175627240143,71.68458781362007,0.8734949217628482,0.8449096545158673,0.0285852672469808,1,Volatile access pattern,Volatile access pattern,NHS North East and North Cumbria ICB - 00L | Neurology,54.3,-1.3,Low-conversion non-ASI deficit
00L,NHS North East and North Cumbria ICB - 00L,North East and Yorkshire,Monitor,Ophthalmology,8242,7377,88,935,0.9049143866158595,0.107771745543215,110.76792540942768,167.50418760469012,0.0,12,0.8950497452074739,0.104950254792526,106.77020140742538,0.8251375582040142,0.9970993037059956,-0.1719617455019813,1,Volatile access pattern,Volatile access pattern,NHS North East and North Cumbria ICB - 00L | Ophthalmology,54.3,-1.3,Low-conversion non-ASI deficit
00L,NHS North East and North Cumbria ICB - 00L,North East and Yorkshire,Review,Children's & Adolescent Services,3085,2234,878,851,0.7223650069217001,0.0586618545231957,2846.9786310064005,3067.4846625766872,1.0,6,0.7241491085899514,0.2758508914100486,2846.029173419773,0.7933403561491787,0.8947054817841336,-0.1013651256349548,1,Volatile access pattern,Volatile access pattern,NHS North East and North Cumbria ICB - 00L | Children's & Adolescent Services,54.3,-1.3,Low-conversion non-ASI deficit
00L,NHS North East and North Cumbria ICB - 00L,North East and Yorkshire,Review,GI and Liver (Medicine and Surgery),5216,2510,3659,2706,0.4875524464328432,0.0808628919414819,7064.597326246615,8049.45054945055,1.0,12,0.4812116564417178,0.5187883435582822,7014.953987730061,0.4563215331910806,0.4909358670090909,-0.0346143338180102,3,True no-slot bottleneck,Persistent no-slot bottleneck,NHS North East and North Cumbria ICB - 00L | GI and Liver (Medicine and Surgery),54.3,-1.3,Low-conversion non-ASI deficit
00L,NHS North East and North Cumbria ICB - 00L,North East and Yorkshire,Review,Gynaecology,4026,2629,3661,1397,0.6580435170668298,0.1186525553452393,9181.398800688963,14038.929440389296,1.0,10,0.6530054644808743,0.3469945355191257,9093.392945851963,0.8703407750656517,0.6092371868449123,0.2611035882207393,3,True no-slot bottleneck,Persistent no-slot bottleneck,NHS North East and North Cumbria ICB - 00L | Gynaecology,54.3,-1.3,Low-conversion non-ASI deficit
00L,NHS North East and North Cumbria ICB - 00L,North East and Yorkshire,Review,Orthopaedics,10993,498,210,10495,0.0453611441518526,0.0151083328435618,191.4048018909027,408.65384615384613,0.0,12,0.0453015555353406,0.9546984444646592,191.0306558719185,0.0434720368086789,0.0581055379291691,-0.0146335011204901,0,High-volume conversion deficit,Low-conversion non-ASI deficit,NHS North East and North Cumbria ICB - 00L | Orthopaedics,54.3,-1.3,Low-conversion non-ASI deficit
00L,NHS North East and North Cumbria ICB - 00L,North East and Yorkshire,Review,Physiotherapy,4513,0,8,4513,0.0,0.0,18.570102135561743,222.84122562674096,0.0,12,0.0,1.0,17.726567693330377,0.0,0.0,0.0,0,High-volume conversion deficit,Low-conversion non-ASI deficit,NHS North East and North Cumbria ICB - 00L | Physiotherapy,54.3,-1.3,Low-conversion non-ASI deficit
00L,NHS North East and North Cumbria ICB - 00L,North East and Yorkshire,Review,Respiratory Medicine,2667,1195,594,1472,0.4491489577370969,0.0457558708578713,2184.765886166843,3466.666666666667,1.0,11,0.448068991376078,0.551931008623922,2227.2215973003376,0.4748524261467209,0.4818107070799011,-0.0069582809331801,3,True no-slot bottleneck,Persistent no-slot bottleneck,NHS North East and North Cumbria ICB - 00L | Respiratory Medicine,54.3,-1.3,Low-conversion non-ASI deficit
00L,NHS North East and North Cumbria ICB - 00L,North East and Yorkshire,Review,Rheumatology,1380,997,883,383,0.7187597916749168,0.1407503084766403,6360.035410853203,7525.773195876289,1.0,8,0.722463768115942,0.2775362318840579,6398.550724637682,1.0987532514342933,0.9300572237387524,0.1686960276955408,1,Volatile access pattern,Volatile access pattern,NHS North East and North Cumbria ICB - 00L | Rheumatology,54.3,-1.3,Low-conversion non-ASI deficit
00L,NHS North East and North Cumbria ICB - 00L,North East and Yorkshire,Review,Surgery - Vascular,1035,726,972,309,0.6940454806285227,0.1723331923230645,9384.793328295676,12323.232323232323,1.0,10,0.7014492753623188,0.2985507246376812,9391.304347826088,0.8381547619047618,0.9268710877429092,-0.0887163258381473,1,Volatile access pattern,Volatile access pattern,NHS North East and North Cumbria ICB - 00L | Surgery - Vascular,54.3,-1.3,Low-conversion non-ASI deficit
00L,NHS North East and North Cumbria ICB - 00L,North East and Yorkshire,Review,Urology,3057,1485,3314,1572,0.4848658066615072,0.1377660344440765,10794.84428607751,20803.212851405624,1.0,12,0.4857703631010795,0.5142296368989205,10840.693490350017,0.4816713427042066,0.5908618631503693,-0.1091905204461626,3,True no-slot bottleneck,Persistent no-slot bottleneck,NHS North East and North Cumbria ICB - 00L | Urology,54.3,-1.3,Low-conversion non-ASI deficit
00N,NHS North East and North Cumbria ICB - 00N,North East and Yorkshire,High Risk,Diagnostic Physiological Measurement,1043,0,403,1043,0.0,0.0,3882.8874290576614,4251.497005988024,1.0,7,0.0,1.0,3863.8542665388304,0.0,0.0076986177761371,-0.0076986177761371,3,True no-slot bottleneck,Persistent no-slot bottleneck,NHS North East and North Cumbria ICB - 00N | Diagnostic Physiological Measurement,54.3,-1.3,Low-conversion non-ASI deficit
00N,NHS North East and North Cumbria ICB - 00N,North East and Yorkshire,Monitor,2WW,9137,8601,554,553,0.9418570449566864,0.0570349491090846,610.8393468243053,1497.797356828194,0.5,12,0.941337419284229,0.058662580715771,606.325927547335,0.913911168114522,0.8992610325518077,0.0146501355627143,1,Volatile access pattern,Volatile access pattern,NHS North East and North Cumbria ICB - 00N | 2WW,54.3,-1.3,Low-conversion non-ASI deficit
00N,NHS North East and North Cumbria ICB - 00N,North East and Yorkshire,Monitor,Cardiology,2053,1977,51,211,0.9703856577483302,0.222776602118747,245.2473357182645,1011.904761904762,0.1666666666666666,12,0.9629810034096444,0.0370189965903555,248.4169508037019,1.1204149459881945,0.8226018010062823,0.2978131449819121,1,Volatile access pattern,Volatile access pattern,NHS North East and North Cumbria ICB - 00N | Cardiology,54.3,-1.3,Low-conversion non-ASI deficit
00N,NHS North East and North Cumbria ICB - 00N,North East and Yorkshire,Monitor,Children's & Adolescent Services,3243,2603,129,657,0.8136768609897663,0.1315698776310639,406.3535952326883,719.4244604316547,0.25,12,0.8026518655565834,0.1973481344434166,397.7798334875115,0.8702337338019497,0.7735916179337231,0.0966421158682265,1,Volatile access pattern,Volatile access pattern,NHS North East and North Cumbria ICB - 00N | Children's & Adolescent Services,54.3,-1.3,Low-conversion non-ASI deficit
00N,NHS North East and North Cumbria ICB - 00N,North East and Yorkshire,Monitor,Dermatology,1797,1681,18,235,0.9406369654686304,0.2475179930537244,95.8547274217002,202.02020202020205,0.0,12,0.9354479688369504,0.0645520311630495,100.1669449081803,0.7620660642468912,0.9722763575222592,-0.210210293275368,1,Volatile access pattern,Volatile access pattern,NHS North East and North Cumbria ICB - 00N | Dermatology,54.3,-1.3,Low-conversion non-ASI deficit
00N,NHS North East and North Cumbria ICB - 00N,North East and Yorkshire,Monitor,"Ear, Nose & Throat",2305,2242,8,175,0.9866725754309674,0.1764615714020764,32.16511283837225,99.009900990099,0.0,12,0.9726681127982646,0.0273318872017354,34.70715835140998,1.0882485266119026,0.9259933350422968,0.1622551915696058,1,Volatile access pattern,Volatile access pattern,"NHS North East and North Cumbria ICB - 00N | Ear, Nose & Throat",54.3,-1.3,Low-conversion non-ASI deficit
00N,NHS North East and North Cumbria ICB - 00N,North East and Yorkshire,Monitor,GI and Liver (Medicine and Surgery),2558,2395,88,184,0.936192269172774,0.0825957183577823,348.34814180543816,613.2075471698113,0.0833333333333333,12,0.936278342455043,0.0637216575449569,344.0187646598905,1.0028053971400095,0.9338083980637172,0.0689969990762923,1,Volatile access pattern,Volatile access pattern,NHS North East and North Cumbria ICB - 00N | GI and Liver (Medicine and Surgery),54.3,-1.3,Low-conversion non-ASI deficit
00N,NHS North East and North Cumbria ICB - 00N,North East and Yorkshire,Monitor,Gynaecology,2299,1990,170,361,0.8672573493733869,0.1493697816230134,734.3896369843569,1343.2835820895525,0.5833333333333334,12,0.8655937364071336,0.1344062635928664,739.4519356241843,0.9731736661683268,0.8590744846842407,0.114099181484086,1,Volatile access pattern,Volatile access pattern,NHS North East and North Cumbria ICB - 00N | Gynaecology,54.3,-1.3,Low-conversion non-ASI deficit
