month_start,financial_year,year,quarter,month_number,month_name,icb_sub_location_code,icb_sub_location_name,cancer_standard,sub_category,eligible_patients,patients_meeting_standard,breach_count,performance_pct
2023-10-01,2023/24,2023,2023Q4,10,Oct,00L,00L,28-day FDS,Not specified,1727.0,1299.0,428.0,0.7521713954834974
2023-10-01,2023/24,2023,2023Q4,10,Oct,00L,00L,31-day Combined,31-day (First),223.0,199.0,24.0,0.8923766816143498
2023-10-01,2023/24,2023,2023Q4,10,Oct,00L,00L,31-day Combined,31-day Sub (Anti-cancer drug regimen),43.0,42.0,1.0,0.9767441860465116
2023-10-01,2023/24,2023,2023Q4,10,Oct,00L,00L,31-day Combined,31-day Sub (Other),5.0,5.0,0.0,1.0
2023-10-01,2023/24,2023,2023Q4,10,Oct,00L,00L,31-day Combined,31-day Sub (Radiotherapy),88.0,73.0,15.0,0.8295454545454546
2023-10-01,2023/24,2023,2023Q4,10,Oct,00L,00L,31-day Combined,31-day Sub (Surgery),26.0,20.0,6.0,0.7692307692307693
2023-10-01,2023/24,2023,2023Q4,10,Oct,00L,00L,62-day Combined,62-day (Consultant Upgrade),27.0,21.0,6.0,0.7777777777777778
2023-10-01,2023/24,2023,2023Q4,10,Oct,00L,00L,62-day Combined,62-day (Screening),18.0,15.0,3.0,0.8333333333333334
2023-10-01,2023/24,2023,2023Q4,10,Oct,00L,00L,62-day Combined,62-day (Urgent Suspected Cancer),102.0,70.0,32.0,0.6862745098039216
2023-10-01,2023/24,2023,2023Q4,10,Oct,00N,00N,28-day FDS,Not specified,844.0,658.0,186.0,0.7796208530805687
2023-10-01,2023/24,2023,2023Q4,10,Oct,00N,00N,31-day Combined,31-day (First),108.0,100.0,8.0,0.9259259259259259
2023-10-01,2023/24,2023,2023Q4,10,Oct,00N,00N,31-day Combined,31-day Sub (Anti-cancer drug regimen),44.0,44.0,0.0,1.0
2023-10-01,2023/24,2023,2023Q4,10,Oct,00N,00N,31-day Combined,31-day Sub (Other),1.0,1.0,0.0,1.0
2023-10-01,2023/24,2023,2023Q4,10,Oct,00N,00N,31-day Combined,31-day Sub (Radiotherapy),33.0,27.0,6.0,0.8181818181818182
2023-10-01,2023/24,2023,2023Q4,10,Oct,00N,00N,31-day Combined,31-day Sub (Surgery),14.0,9.0,5.0,0.6428571428571429
2023-10-01,2023/24,2023,2023Q4,10,Oct,00N,00N,62-day Combined,62-day (Consultant Upgrade),13.0,8.0,5.0,0.6153846153846154
2023-10-01,2023/24,2023,2023Q4,10,Oct,00N,00N,62-day Combined,62-day (Screening),7.0,5.0,2.0,0.7142857142857143
2023-10-01,2023/24,2023,2023Q4,10,Oct,00N,00N,62-day Combined,62-day (Urgent Suspected Cancer),62.0,44.0,18.0,0.7096774193548387
2023-10-01,2023/24,2023,2023Q4,10,Oct,00P,00P,28-day FDS,Not specified,1367.0,1128.0,239.0,0.825164594001463
2023-10-01,2023/24,2023,2023Q4,10,Oct,00P,00P,31-day Combined,31-day (First),166.0,156.0,10.0,0.9397590361445783
2023-10-01,2023/24,2023,2023Q4,10,Oct,00P,00P,31-day Combined,31-day Sub (Anti-cancer drug regimen),73.0,72.0,1.0,0.9863013698630136
2023-10-01,2023/24,2023,2023Q4,10,Oct,00P,00P,31-day Combined,31-day Sub (Other),1.0,1.0,0.0,1.0
2023-10-01,2023/24,2023,2023Q4,10,Oct,00P,00P,31-day Combined,31-day Sub (Radiotherapy),52.0,37.0,15.0,0.7115384615384616
2023-10-01,2023/24,2023,2023Q4,10,Oct,00P,00P,31-day Combined,31-day Sub (Surgery),25.0,21.0,4.0,0.84
2023-10-01,2023/24,2023,2023Q4,10,Oct,00P,00P,62-day Combined,62-day (Consultant Upgrade),28.0,18.0,10.0,0.6428571428571429
2023-10-01,2023/24,2023,2023Q4,10,Oct,00P,00P,62-day Combined,62-day (Screening),6.0,2.0,4.0,0.3333333333333333
2023-10-01,2023/24,2023,2023Q4,10,Oct,00P,00P,62-day Combined,62-day (Urgent Suspected Cancer),99.0,64.0,35.0,0.6464646464646465
2023-10-01,2023/24,2023,2023Q4,10,Oct,00Q,00Q,28-day FDS,Not specified,675.0,471.0,204.0,0.6977777777777778
2023-10-01,2023/24,2023,2023Q4,10,Oct,00Q,00Q,31-day Combined,31-day (First),76.0,72.0,4.0,0.9473684210526315
2023-10-01,2023/24,2023,2023Q4,10,Oct,00Q,00Q,31-day Combined,31-day Sub (Anti-cancer drug regimen),35.0,35.0,0.0,1.0
2023-10-01,2023/24,2023,2023Q4,10,Oct,00Q,00Q,31-day Combined,31-day Sub (Other),1.0,1.0,0.0,1.0
2023-10-01,2023/24,2023,2023Q4,10,Oct,00Q,00Q,31-day Combined,31-day Sub (Radiotherapy),28.0,26.0,2.0,0.9285714285714286
2023-10-01,2023/24,2023,2023Q4,10,Oct,00Q,00Q,31-day Combined,31-day Sub (Surgery),16.0,13.0,3.0,0.8125
